name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-3537,NO,1,0,0,0,0,0,0
GENE-3538,NO,1,0,0,0,0,0,0
GENE-3539,NO,1,0,0,0,0,0,0
GENE-3540,NO,1,0,0,0,0,0,0
GENE-3541,NO,1,0,0,0,0,0,0
GENE-3542,NO,1,0,0,0,0,0,0
GENE-3543,NO,1,0,0,0,0,0,0
GENE-3544,NO,1,0,0,0,0,0,0
GENE-3545,NO,1,0,0,0,0,0,0
GENE-3546,NO,1,0,0,0,0,0,0
GENE-3547,NO,1,0,0,0,0,0,0
GENE-3548,NO,1,0,0,0,1,2,0
GENE-3550,NO,1,0,0,0,0,0,0
GENE-3551,NO,1,0,0,0,0,0,0
GENE-3552,NO,1,0,0,0,0,0,0
GENE-3553,NO,1,362,370,389,396,405,385
GENE-3554,NO,1,0,0,0,0,0,0
GENE-3555,YES,1,0,0,0,0,0,0
GENE-3556,NO,1,0,0,0,0,0,0
GENE-3557,NO,1,351,404,379,237,244,328
GENE-3558,NO,1,0,0,0,0,0,0
GENE-3559,NO,1,0,0,0,0,0,0
GENE-3560,NO,1,0,0,0,0,0,0
GENE-3561,NO,1,0,0,0,0,0,0
GENE-3562,NO,1,0,0,0,0,0,0
GENE-3563,NO,1,13,11,7,10,8,7
GENE-3564,NO,1,463,442,433,334,447,338
GENE-3565,NO,1,493,498,445,293,520,573
GENE-3566,NO,1,0,0,0,0,0,0
GENE-3567,NO,1,0,0,0,0,0,0
GENE-3568,NO,1,5,10,7,9,7,9
GENE-3569,NO,1,1,0,0,0,0,0
GENE-3570,NO,1,5232,5170,5466,4955,4674,4161
GENE-3571,NO,1,0,0,0,0,0,0
GENE-3572,NO,1,0,0,0,0,0,0
GENE-3573,NO,1,0,0,0,0,0,0
GENE-3574,YES,1,0,0,0,0,0,0
GENE-3575,NO,1,2,0,3,1,0,5
GENE-3576,NO,1,0,0,0,0,0,0
GENE-3577,YES,1,0,0,0,0,0,0
GENE-3578,NO,1,4,4,2,7,7,7
GENE-3579,NO,1,0,0,0,0,0,0
GENE-3580,NO,1,0,0,0,0,0,0
GENE-3581,NO,1,0,0,0,0,0,0
GENE-3582,NO,1,0,0,0,0,0,0
GENE-3583,NO,1,0,0,0,0,0,0
GENE-3584,NO,1,0,0,0,0,0,0
GENE-3585,NO,1,0,0,0,0,0,0
GENE-3586,NO,1,0,0,0,0,0,0
GENE-3587,NO,1,49,62,37,61,52,40
GENE-3588,NO,1,0,0,0,0,0,0
GENE-3589,NO,1,0,0,0,0,0,0
GENE-3590,NO,1,796,461,782,552,653,553
GENE-3591,NO,1,0,0,0,0,0,0
GENE-3592,NO,1,2,10,3,5,3,3
GENE-3593,NO,1,405,491,540,379,415,604
GENE-3594,NO,1,0,0,0,0,0,0
GENE-3595,NO,1,0,0,0,0,0,0
GENE-3596,NO,1,0,0,0,0,0,0
GENE-3597,NO,1,7231,3107,565,2125,1045,816
GENE-3598,NO,1,38,43,39,34,36,44
GENE-3599,NO,1,0,0,0,0,0,0
GENE-3600,NO,1,14,14,17,16,11,6
GENE-3601,NO,1,0,0,0,0,0,0
GENE-3602,NO,1,0,0,0,0,0,0
GENE-3603,NO,1,0,0,0,0,0,0
GENE-3604,NO,1,29,21,25,22,33,28
GENE-3605,YES,1,0,0,0,0,0,0
GENE-3606,NO,1,571,557,673,796,774,564
GENE-3607,NO,1,0,0,0,0,0,0
GENE-3608,NO,1,0,0,0,0,0,0
GENE-3609,NO,1,384,380,313,423,382,415
GENE-3610,NO,1,92,100,45,102,91,70
GENE-3611,NO,1,0,0,0,0,0,0
GENE-3612,NO,1,0,0,0,0,0,0
GENE-3613,NO,1,0,0,0,0,0,0
GENE-3614,NO,1,0,0,0,0,0,0
GENE-3615,NO,1,0,0,0,0,0,0
GENE-3616,NO,1,0,0,0,0,0,0
GENE-3617,NO,1,6,15,15,10,15,15
GENE-3618,NO,1,327,248,288,256,281,270
GENE-3619,NO,1,0,0,0,0,0,0
GENE-3620,NO,1,0,0,0,0,0,0
GENE-3621,NO,1,30,35,27,43,56,12
GENE-3622,NO,1,0,0,0,0,0,0
GENE-3623,NO,1,0,0,0,0,0,0
GENE-3624,NO,1,0,0,0,0,0,0
GENE-3625,NO,1,0,0,1,0,1,0
GENE-3626,NO,1,37,37,51,37,34,42
GENE-3627,NO,1,43,31,36,36,38,46
GENE-3628,NO,1,12,38,14,13,29,6
GENE-3629,NO,1,0,0,0,0,0,0
GENE-3630,NO,1,354,385,382,381,380,396
GENE-3631,NO,1,0,0,0,0,0,1
GENE-3632,NO,1,11,14,15,10,16,17
GENE-3633,NO,1,110,65,99,68,60,95
GENE-3634,NO,1,0,0,0,0,0,0
GENE-3635,NO,1,0,0,0,0,0,0
GENE-3636,NO,1,0,0,0,0,0,0
GENE-3637,NO,1,328,304,274,233,442,336
GENE-3638,YES,1,0,0,0,0,0,0
GENE-3639,NO,1,1,0,1,2,1,1
GENE-3640,NO,1,0,0,0,0,0,0
GENE-3641,NO,1,81,46,106,221,82,142
GENE-3642,YES,1,0,0,0,0,0,0
GENE-3643,NO,1,0,0,0,0,0,0
GENE-3644,NO,1,0,0,0,0,0,0
GENE-3645,NO,1,0,0,0,0,0,0
GENE-3646,NO,1,11,15,13,3,8,12
GENE-3647,NO,1,0,0,0,0,0,0
GENE-3648,NO,1,25,32,22,16,28,31
GENE-3649,NO,1,0,0,0,0,0,0
GENE-3650,NO,1,0,0,0,0,0,0
GENE-3651,NO,1,0,0,0,0,0,0
GENE-3652,NO,1,0,0,0,0,0,0
GENE-3653,NO,1,0,0,0,0,0,0
GENE-3654,NO,1,0,0,0,0,0,0
GENE-3655,NO,1,0,0,0,0,0,0
GENE-3656,NO,1,126,21,46,98,29,14
GENE-3657,NO,1,0,0,0,0,0,0
GENE-3658,NO,1,0,0,0,0,0,0
GENE-3659,NO,1,0,0,0,0,0,0
GENE-3660,NO,1,72,81,73,75,77,76
GENE-3661,NO,1,0,0,0,0,0,0
GENE-3662,NO,1,76,59,86,51,39,70
GENE-3663,NO,1,0,0,0,0,0,0
GENE-3664,NO,1,0,0,0,0,0,0
GENE-3665,NO,1,96,66,72,82,154,129
GENE-3666,NO,1,0,2,0,0,1,0
GENE-3667,NO,1,0,0,0,0,0,0
GENE-3668,NO,1,649,780,535,698,504,914
GENE-3669,YES,1,0,0,0,0,0,0
GENE-3670,NO,1,0,0,0,0,0,0
GENE-3671,NO,1,274,355,373,306,382,472
GENE-3672,NO,1,0,0,0,0,0,0
GENE-3674,NO,1,0,0,0,0,0,0
GENE-3675,NO,1,0,0,0,0,0,0
GENE-3676,NO,1,0,0,0,0,0,0
GENE-3677,NO,1,1,4,2,3,4,1
GENE-3678,NO,1,181,254,225,219,190,167
GENE-3679,NO,1,0,0,0,0,0,0
GENE-3680,NO,1,0,0,0,0,0,0
GENE-3681,NO,1,0,0,0,0,0,0
GENE-3682,NO,1,270,370,264,264,239,209
GENE-3683,NO,1,0,0,0,0,0,0
GENE-3684,NO,1,0,0,0,0,0,0
GENE-3685,NO,1,1118,1380,1058,1180,1044,1061
GENE-3686,NO,1,0,0,0,0,0,0
GENE-3687,NO,1,0,0,0,0,0,0
GENE-3689,NO,1,154,123,108,121,114,93
GENE-3690,NO,1,63,88,150,68,65,109
GENE-3691,NO,1,0,0,0,0,0,0
GENE-3692,NO,1,4,3,7,10,14,3
GENE-3693,NO,1,0,0,0,0,0,0
GENE-3694,NO,1,0,0,0,0,0,0
GENE-3695,NO,1,0,0,0,0,0,0
GENE-3696,NO,1,0,0,0,0,0,0
GENE-3697,NO,1,0,0,0,0,0,0
GENE-3698,NO,1,0,0,0,0,0,0
GENE-3699,NO,1,0,0,0,0,0,0
GENE-3700,NO,1,3,1,3,4,6,2
GENE-3701,NO,1,0,0,0,0,0,0
GENE-3702,NO,1,0,0,0,0,0,0
GENE-3703,NO,1,0,0,0,0,0,0
GENE-3704,NO,1,0,0,0,0,0,0
GENE-3705,NO,1,194,43,42,37,68,73
GENE-3706,NO,1,101,96,84,94,90,90
GENE-3707,NO,1,0,0,0,0,0,0
GENE-3708,NO,1,0,0,0,0,0,0
GENE-3709,NO,1,0,0,0,0,0,0
GENE-3710,NO,1,0,0,0,0,0,0
GENE-3711,NO,1,0,0,0,0,0,0
GENE-3712,NO,1,0,0,0,0,0,0
GENE-3713,NO,1,659,647,585,513,714,655
GENE-3714,NO,1,0,0,0,0,0,0
GENE-3715,NO,1,0,0,0,1,0,1
GENE-3716,NO,1,751,905,820,854,762,722
GENE-3717,NO,1,735,693,622,758,819,703
GENE-3718,NO,1,0,0,0,0,0,0
GENE-3719,NO,1,0,0,0,0,0,0
GENE-3720,NO,1,633,589,672,571,517,646
GENE-3721,NO,1,0,0,0,0,0,0
GENE-3722,NO,1,0,0,0,0,0,0
GENE-3723,NO,1,5,8,3,2,2,16
GENE-3724,NO,1,50,98,37,36,19,34
GENE-3725,NO,1,0,0,0,0,0,0
GENE-3726,NO,1,145,152,97,174,126,168
GENE-3727,NO,1,0,0,0,0,0,0
GENE-3728,YES,1,0,0,0,0,0,0
GENE-3729,NO,1,0,0,0,0,0,0
GENE-3730,NO,1,0,0,0,0,0,0
GENE-3731,NO,1,0,0,0,0,0,0
GENE-3732,NO,1,0,0,0,0,0,0
GENE-3733,NO,1,0,0,0,0,0,0
GENE-3734,NO,1,0,0,0,0,0,0
GENE-3735,NO,1,0,0,0,0,0,0
GENE-3736,NO,1,0,0,0,0,0,0
GENE-3737,NO,1,0,0,0,0,0,0
GENE-3738,NO,1,14,3,5,12,3,2
GENE-3739,NO,1,2778,1845,1525,2586,2399,1711
GENE-3740,NO,1,0,0,0,0,0,0
GENE-3741,NO,1,0,0,0,0,0,0
GENE-3742,NO,1,0,0,0,0,0,0
GENE-3743,NO,1,0,0,0,0,1,1
GENE-3744,NO,1,1258,968,951,762,914,1276
GENE-3745,NO,1,0,0,0,0,0,0
GENE-3746,NO,1,1,1,0,7,1,1
GENE-3747,NO,1,0,0,0,0,0,0
GENE-3748,NO,1,464,471,533,464,439,529
GENE-3749,NO,1,0,0,0,0,0,0
GENE-3750,NO,1,30,22,18,27,28,22
GENE-3751,NO,1,14,16,23,25,29,26
GENE-3752,NO,1,0,0,0,0,0,0
GENE-3753,NO,1,1,1,3,1,1,3
GENE-3754,NO,1,0,0,0,0,0,0
GENE-3755,NO,1,0,0,0,0,0,0
GENE-3756,NO,1,8,13,8,10,9,10
GENE-3757,NO,1,0,0,0,0,0,0
GENE-3758,NO,1,0,0,0,0,0,0
GENE-3759,NO,1,0,0,0,0,0,0
GENE-3760,NO,1,0,0,0,0,0,0
GENE-3761,NO,1,0,0,0,0,0,0
GENE-3762,NO,1,0,0,0,0,0,0
GENE-3763,NO,1,119,78,399,300,340,276
GENE-3764,NO,1,0,0,0,0,0,0
GENE-3765,NO,1,8,10,6,3,7,4
GENE-3766,NO,1,0,0,0,0,0,0
GENE-3767,NO,1,0,0,0,0,0,0
GENE-3768,NO,1,4,3,3,5,5,6
GENE-3769,NO,1,0,0,0,0,0,0
GENE-3770,NO,1,0,0,0,0,0,0
GENE-3771,NO,1,0,0,0,0,0,0
GENE-3772,NO,1,0,0,0,0,0,0
GENE-3773,NO,1,0,0,0,0,0,0
GENE-3774,NO,1,542,1204,1395,1898,1116,997
GENE-3775,NO,1,0,0,0,0,0,0
GENE-3776,NO,1,20,21,17,8,17,18
GENE-3777,NO,1,0,0,0,0,0,0
GENE-3778,NO,1,441,425,87,622,262,467
GENE-3779,NO,1,10,9,9,6,7,4
GENE-3780,NO,1,0,0,0,0,0,0
GENE-3781,NO,1,33,17,17,12,27,30
GENE-3782,NO,1,1049,502,1047,736,508,807
GENE-3783,NO,1,0,0,0,0,0,0
GENE-3784,NO,1,0,0,0,0,0,0
GENE-3785,NO,1,0,0,0,0,0,0
GENE-3786,NO,1,5,2,5,4,1,7
GENE-3787,NO,1,0,0,0,0,0,0
GENE-3788,NO,1,0,1,0,2,1,0
GENE-3789,NO,1,0,0,0,0,0,0
GENE-3790,YES,1,0,0,0,0,0,0
GENE-3791,NO,1,0,0,0,0,0,0
GENE-3792,NO,1,1,1,1,0,1,1
GENE-3793,NO,1,0,0,0,0,0,0
GENE-3794,NO,1,0,0,0,0,0,0
GENE-3795,NO,1,0,0,0,0,0,0
GENE-3796,NO,1,0,0,0,0,0,0
GENE-3797,NO,1,0,0,0,0,0,0
GENE-3798,NO,1,10,24,17,27,26,24
GENE-3799,YES,1,0,0,0,0,0,0
GENE-3800,NO,1,37,31,32,31,21,37
GENE-3801,NO,1,3,5,4,8,1,1
GENE-3802,YES,1,0,0,2,4,2,3
GENE-3803,NO,1,0,0,0,0,0,0
GENE-3804,NO,1,0,0,0,0,0,0
GENE-3805,NO,1,13,106,84,64,111,48
GENE-3806,NO,1,0,0,0,0,0,0
GENE-3807,NO,1,97,107,44,43,90,69
GENE-3808,NO,1,0,0,0,0,0,0
GENE-3809,NO,1,0,0,0,0,0,0
GENE-3810,NO,1,4,16,7,8,6,1
GENE-3811,NO,1,1,2,0,5,0,1
GENE-3812,NO,1,0,0,0,0,0,0
GENE-3813,NO,1,0,0,0,0,0,0
GENE-3814,NO,1,0,0,0,0,0,0
GENE-3815,NO,1,0,0,0,0,0,0
GENE-3816,NO,1,0,0,0,0,0,0
GENE-3817,NO,1,133,7,4,7,250,334
GENE-3818,NO,1,2,0,1,0,1,1
GENE-3819,NO,1,0,0,0,0,0,0
GENE-3820,NO,1,0,0,1,0,0,0
GENE-3821,NO,1,0,0,0,0,0,0
GENE-3822,NO,1,14,8,6,3,6,12
GENE-3823,NO,1,0,0,0,0,0,0
GENE-3824,NO,1,0,0,0,0,0,0
GENE-3825,NO,1,1,0,1,0,0,0
GENE-3826,NO,1,0,0,0,0,0,0
GENE-3827,NO,1,2,2,0,2,2,0
GENE-3828,NO,1,320,700,413,243,576,542
GENE-3829,NO,1,0,0,0,0,0,0
GENE-3830,NO,1,31,20,24,24,15,39
GENE-3831,NO,1,0,0,0,0,0,0
GENE-3832,NO,1,51,61,48,39,54,58
GENE-3833,NO,1,5,4,6,8,2,8
GENE-3834,NO,1,0,0,0,0,0,0
GENE-3835,NO,1,0,0,0,0,0,0
GENE-3836,NO,1,0,0,0,0,0,0
GENE-3837,NO,1,0,0,0,0,0,0
GENE-3838,NO,1,0,0,0,0,0,0
GENE-3839,NO,1,0,0,0,0,0,0
GENE-3840,NO,1,0,0,0,0,0,0
GENE-3841,NO,1,0,0,0,0,0,0
GENE-3842,NO,1,0,0,0,0,0,0
GENE-3843,NO,1,0,0,0,0,0,0
GENE-3844,NO,1,0,0,0,0,0,0
GENE-3845,NO,1,1,0,0,0,0,0
GENE-3846,NO,1,5,5,3,3,2,5
GENE-3847,NO,1,114,100,138,113,124,132
GENE-3848,NO,1,0,0,0,0,0,0
GENE-3849,YES,1,0,0,0,0,0,0
GENE-3850,NO,1,0,0,0,0,0,0
GENE-3851,NO,1,0,0,0,0,0,0
GENE-3852,NO,1,0,0,0,0,0,0
GENE-3853,NO,1,366,241,698,291,422,363
GENE-3854,NO,1,0,1,2,1,1,2
GENE-3855,NO,1,1,1,2,1,2,0
GENE-3856,NO,1,0,0,0,0,0,0
GENE-3857,NO,1,0,0,0,0,0,0
GENE-3858,NO,1,2,26,30,8,189,24
GENE-3859,NO,1,286,306,294,278,280,293
GENE-3860,NO,1,5,9,4,5,4,8
GENE-3861,NO,1,0,0,0,0,0,0
GENE-3862,NO,1,0,0,0,1,0,0
GENE-3864,NO,1,18,14,16,28,17,21
GENE-3865,YES,1,0,0,0,0,0,0
GENE-3866,NO,1,0,0,0,0,0,0
GENE-3867,NO,1,0,0,0,0,0,0
GENE-3868,NO,1,0,0,0,0,0,0
GENE-3869,NO,1,0,0,0,0,0,0
GENE-3870,NO,1,0,0,0,0,0,0
GENE-3871,NO,1,0,3,0,1,6,2
GENE-3872,NO,1,0,0,0,0,0,0
GENE-3873,NO,1,0,0,0,0,0,0
GENE-3874,NO,1,0,0,0,0,0,0
GENE-3875,NO,1,4,4,6,2,1,6
GENE-3876,NO,1,0,2,0,0,0,0
GENE-3877,NO,1,0,0,0,0,0,0
GENE-3878,NO,1,0,0,0,0,0,0
GENE-3879,NO,1,2183,4400,3422,5315,3815,3055
GENE-3880,NO,1,0,0,0,0,0,0
GENE-3881,NO,1,0,0,0,0,0,0
GENE-3882,NO,1,0,0,0,0,0,0
GENE-3883,NO,1,3,0,9,3,0,2
GENE-3884,NO,1,342,637,363,633,241,454
GENE-3885,NO,1,0,0,0,0,0,0
GENE-3886,NO,1,45,68,28,28,44,34
GENE-3887,NO,1,0,0,0,0,0,0
GENE-3888,NO,1,501,319,266,540,393,471
GENE-3889,NO,1,0,0,0,0,0,0
GENE-3890,NO,1,0,0,0,0,0,0
GENE-3891,NO,1,0,0,0,0,0,0
GENE-3892,NO,1,0,0,0,0,0,0
GENE-3893,NO,1,0,0,0,0,0,0
GENE-3894,NO,1,573,643,547,783,184,375
GENE-3895,NO,1,0,0,0,0,0,0
GENE-3896,NO,1,0,0,0,0,0,0
GENE-3897,NO,1,953,669,1285,1051,1197,1171
GENE-3898,NO,1,0,0,0,0,0,0
GENE-3899,NO,1,0,0,0,0,0,0
GENE-3900,NO,1,88,43,94,41,95,67
GENE-3901,NO,1,0,0,1,1,1,1
GENE-3902,NO,1,0,1,4,4,2,2
GENE-3903,NO,1,4,6,9,8,6,8
GENE-3904,NO,1,0,0,0,0,0,0
GENE-3905,NO,1,0,0,0,0,0,0
GENE-3906,NO,1,0,0,0,0,0,0
GENE-3907,NO,1,0,0,0,0,0,0
GENE-3908,NO,1,0,0,0,0,0,0
GENE-3909,NO,1,0,0,0,0,0,0
GENE-3910,NO,1,0,0,0,0,0,0
GENE-3911,NO,1,11,21,12,25,19,21
GENE-3912,NO,1,0,0,0,0,0,0
GENE-3913,NO,1,0,0,0,0,0,0
GENE-3914,NO,1,19,20,37,33,17,29
GENE-3915,NO,1,0,0,0,0,0,0
GENE-3916,NO,1,115,111,129,125,72,76
GENE-3917,NO,1,0,0,0,0,0,0
GENE-3918,YES,1,0,0,0,1,0,0
GENE-3919,NO,1,0,1,0,0,0,1
GENE-3920,NO,1,0,0,0,0,0,0
GENE-3921,NO,1,0,0,0,0,0,0
GENE-3922,NO,1,0,0,0,0,0,0
GENE-3923,NO,1,5,2,22,10,12,10
GENE-3924,NO,1,0,0,0,0,0,0
GENE-3925,NO,1,108,111,109,91,100,108
GENE-3926,NO,1,0,0,0,0,0,0
GENE-3927,NO,1,0,0,0,0,0,0
GENE-3928,NO,1,0,0,0,0,0,0
GENE-3929,YES,1,0,0,0,0,0,0
GENE-3930,NO,1,0,0,0,0,0,0
GENE-3931,NO,1,0,0,0,0,0,0
GENE-3932,NO,1,0,0,0,0,0,0
GENE-3933,NO,1,0,0,0,0,0,0
GENE-3934,NO,1,0,0,0,0,0,0
GENE-3935,NO,1,0,0,0,0,0,0
GENE-3936,NO,1,0,0,0,0,0,0
GENE-3937,NO,1,0,0,0,0,1,0
GENE-3938,NO,1,0,0,0,0,0,0
GENE-3939,NO,1,0,0,0,0,0,1
GENE-3940,NO,1,7,8,10,1,7,4
GENE-3941,NO,1,0,0,0,0,0,0
GENE-3942,NO,1,548,427,547,620,555,361
GENE-3943,NO,1,0,0,0,0,0,0
GENE-3944,NO,1,0,0,0,0,0,0
GENE-3945,NO,1,0,0,0,0,0,0
GENE-3946,NO,1,0,0,0,0,0,0
GENE-3947,NO,1,0,0,0,0,0,0
GENE-3948,NO,1,620,381,584,451,465,305
GENE-3949,NO,1,3,1,3,0,1,3
GENE-3950,NO,1,0,0,0,0,0,0
GENE-3951,NO,1,649,9,0,11,372,32
GENE-3952,NO,1,437,498,152,310,360,527
GENE-3953,NO,1,0,0,0,0,0,0
GENE-3954,NO,1,3,2,7,3,3,3
GENE-3955,NO,1,0,0,0,0,0,0
GENE-3956,NO,1,0,0,0,0,0,0
GENE-3957,NO,1,265,365,289,363,331,339
GENE-3958,NO,1,6,5,8,2,3,8
GENE-3959,NO,1,0,0,0,0,0,0
GENE-3960,NO,1,0,0,0,0,0,0
GENE-3961,NO,1,0,0,0,0,0,0
GENE-3962,NO,1,0,0,0,0,0,0
GENE-3963,NO,1,2,5,7,3,3,6
GENE-3964,NO,1,0,0,0,0,0,0
GENE-3965,NO,1,0,0,0,0,0,0
GENE-3966,NO,1,0,0,0,0,0,0
GENE-3967,NO,1,8,7,3,10,4,11
GENE-3968,NO,1,0,0,0,0,0,0
GENE-3969,NO,1,0,0,0,0,0,0
GENE-3970,NO,1,0,0,0,0,0,0
GENE-3971,NO,1,2,4,1,4,2,1
GENE-3972,NO,1,0,2,0,1,0,0
GENE-3973,NO,1,0,0,0,0,0,0
GENE-3974,NO,1,1168,1245,379,430,829,1233
GENE-3975,NO,1,0,0,0,0,0,0
GENE-3976,NO,1,0,0,0,0,0,0
GENE-3977,NO,1,0,0,0,0,0,0
GENE-3978,NO,1,0,0,0,0,0,0
GENE-3979,NO,1,792,428,810,865,764,361
GENE-3980,NO,1,0,0,0,0,0,0
GENE-3981,NO,1,0,0,0,0,0,0
GENE-3982,NO,1,0,0,0,0,0,0
GENE-3983,YES,1,0,0,0,0,0,0
GENE-3984,NO,1,0,0,0,1,0,0
GENE-3985,NO,1,0,0,0,0,0,0
GENE-3986,NO,1,0,0,0,0,0,0
GENE-3987,NO,1,0,0,0,0,0,0
GENE-3988,NO,1,0,0,0,0,0,0
GENE-3989,NO,1,0,0,0,0,0,0
GENE-3990,YES,1,0,0,0,0,0,0
GENE-3991,NO,1,0,0,0,0,0,0
GENE-3992,NO,1,0,0,0,0,0,0
GENE-3993,NO,1,0,0,0,0,0,0
GENE-3994,NO,1,555,685,936,475,553,635
GENE-3995,NO,1,317,371,441,269,324,419
GENE-3996,NO,1,0,0,0,0,0,0
GENE-3997,NO,1,0,0,0,0,0,0
GENE-3998,NO,1,0,0,0,0,0,0
GENE-3999,NO,1,0,0,0,0,0,0
GENE-4000,NO,1,0,0,0,0,0,0
GENE-4001,NO,1,1506,1747,1642,1546,1416,1500
GENE-4002,NO,1,0,0,0,0,0,0
GENE-4003,NO,1,71,114,93,100,102,91
GENE-4004,NO,1,0,0,0,0,0,0
GENE-4005,NO,1,0,0,0,0,0,0
GENE-4006,NO,1,0,0,0,0,0,0
GENE-4007,YES,1,0,0,0,0,0,0
GENE-4008,NO,1,0,0,0,0,0,0
GENE-4009,NO,1,182,141,214,167,174,199
GENE-4010,NO,1,0,0,0,0,0,0
GENE-4011,NO,1,0,0,0,0,0,0
GENE-4012,NO,1,0,0,0,0,0,0
GENE-4013,NO,1,0,0,0,0,0,0
GENE-4014,NO,1,327,305,259,293,289,286
GENE-4015,NO,1,0,0,0,0,0,0
GENE-4016,NO,1,1045,1053,893,1003,657,919
GENE-4017,NO,1,0,0,0,0,0,0
GENE-4018,NO,1,0,0,0,0,0,0
GENE-4019,NO,1,37,11,29,31,24,23
GENE-4020,NO,1,8,13,8,10,8,10
GENE-4021,NO,1,0,0,0,0,0,0
GENE-4022,NO,1,0,0,0,1,0,0
GENE-4023,NO,1,0,0,0,0,0,0
GENE-4024,NO,1,0,1,1,2,0,0
GENE-4025,NO,1,0,0,0,0,0,0
GENE-4026,NO,1,0,0,0,1,1,0
GENE-4027,NO,1,8,6,6,15,14,13
GENE-4028,NO,1,140,213,142,186,203,420
GENE-4029,NO,1,53,39,38,55,33,24
GENE-4030,NO,1,0,0,0,0,0,0
GENE-4031,NO,1,0,0,0,0,0,0
GENE-4032,NO,1,0,0,0,0,0,0
GENE-4033,NO,1,922,830,831,558,974,958
GENE-4034,NO,1,0,0,0,0,0,0
GENE-4035,NO,1,0,0,0,0,0,0
GENE-4036,NO,1,0,0,0,0,0,0
GENE-4037,NO,1,0,0,0,0,0,0
GENE-4038,YES,1,1,0,0,0,0,1
GENE-4039,NO,1,0,0,0,0,0,0
GENE-4040,NO,1,0,0,0,0,0,0
GENE-4041,NO,1,0,0,0,0,0,0
GENE-4042,NO,1,0,0,0,0,0,0
GENE-4043,NO,1,368,347,522,400,441,475
GENE-4044,NO,1,0,0,0,0,0,0
GENE-4045,NO,1,0,0,0,0,0,0
GENE-4046,NO,1,0,0,0,0,0,0
GENE-4047,NO,1,53,75,58,35,72,125
GENE-4048,NO,1,0,0,0,0,0,0
GENE-4049,NO,1,0,0,0,0,0,0
GENE-4050,NO,1,0,0,0,0,0,0
GENE-4051,NO,1,0,0,0,0,0,0
GENE-4052,NO,1,0,0,0,0,0,0
GENE-4053,NO,1,0,0,0,0,0,0
GENE-4054,NO,1,830,1028,1054,1089,1145,780
GENE-4055,NO,1,0,0,0,0,0,0
GENE-4056,NO,1,0,0,0,0,0,0
GENE-4057,NO,1,0,0,0,0,0,0
GENE-4058,NO,1,0,0,0,0,0,0
GENE-4059,NO,1,0,0,0,0,0,0
GENE-4060,NO,1,0,0,0,0,0,0
GENE-4061,NO,1,0,0,0,0,0,0
GENE-4062,NO,1,296,186,283,266,228,310
GENE-4063,NO,1,0,0,0,0,0,0
GENE-4064,NO,1,0,0,0,0,0,0
GENE-4065,YES,1,0,0,0,0,0,0
GENE-4066,NO,1,0,0,0,0,0,0
GENE-4067,NO,1,117,143,99,99,111,114
GENE-4068,NO,1,1,0,0,0,0,0
GENE-4069,NO,1,0,0,0,0,0,0
GENE-4070,NO,1,63,75,70,60,75,98
GENE-4071,NO,1,0,0,0,0,0,0
GENE-4072,NO,1,0,0,0,0,0,0
GENE-4073,NO,1,0,0,0,0,0,0
GENE-4074,NO,1,0,0,0,0,0,0
GENE-4075,NO,1,0,0,0,0,0,0
GENE-4076,NO,1,8,6,10,4,7,7
GENE-4077,NO,1,0,0,0,0,1,0
GENE-4078,NO,1,0,0,0,0,0,0
GENE-4079,NO,1,0,0,0,0,0,0
GENE-4080,NO,1,0,0,0,0,0,0
GENE-4081,NO,1,0,0,0,0,0,0
GENE-4082,NO,1,0,0,0,0,0,0
GENE-4083,YES,1,0,0,0,0,0,0
GENE-4085,NO,1,16,11,5,11,17,7
GENE-4086,NO,1,0,0,0,0,0,0
GENE-4087,NO,1,0,0,0,0,0,0
GENE-4089,NO,1,444,385,283,420,338,446
GENE-4090,NO,1,2092,1635,2442,1759,1970,2406
GENE-4091,NO,1,0,0,0,0,0,0
GENE-4092,NO,1,0,0,0,0,0,0
GENE-4093,NO,1,37,79,47,84,55,116
GENE-4094,NO,1,0,0,0,0,0,0
GENE-4095,NO,1,0,0,0,0,0,0
GENE-4096,NO,1,0,0,0,0,0,0
GENE-4097,NO,1,16,16,22,9,10,15
GENE-4098,NO,1,720,381,1019,735,841,764
GENE-4099,NO,1,0,0,0,0,0,0
GENE-4100,NO,1,0,0,0,0,0,0
GENE-4101,NO,1,0,0,0,0,0,0
GENE-4102,NO,1,85,98,77,72,98,81
GENE-4103,NO,1,0,0,0,0,0,0
GENE-4104,NO,1,0,0,0,0,0,0
GENE-4105,NO,1,3,0,0,1,0,0
GENE-4106,NO,1,0,1,0,1,0,0
GENE-4107,NO,1,0,0,0,0,0,0
GENE-4108,NO,1,263,297,288,334,348,365
GENE-4109,NO,1,0,0,0,0,0,0
GENE-4110,NO,1,0,0,0,0,0,0
GENE-4111,NO,1,651,637,512,557,570,718
GENE-4112,NO,1,0,0,0,0,0,0
GENE-4113,NO,1,1282,1306,813,517,795,114
GENE-4114,NO,1,0,0,0,0,0,0
GENE-4115,NO,1,0,0,0,0,0,0
GENE-4116,NO,1,0,0,0,0,0,0
GENE-4117,NO,1,0,0,0,0,0,0
GENE-4118,YES,1,0,0,0,0,0,0
GENE-4119,NO,1,0,0,0,0,0,0
GENE-4120,NO,1,229,301,191,192,182,208
GENE-4121,NO,1,19,14,13,18,8,13
