# Program:featureCounts v1.5.3; Command:"featureCounts" "-a" "refs/agrobacterium_tumefaciens.gff" "-t" "gene" "-g" "ID" "-o" "matrix.txt" "WT_55_3.bam" "WT_67_1.bam" "WT_79_1.bam" "pssA_55_2.bam" "pssA_67_1.bam" "pssA_79_2.bam" 
Geneid	Chr	Start	End	Strand	Length	WT_55_3.bam	WT_67_1.bam	WT_79_1.bam	pssA_55_2.bam	pssA_67_1.bam	pssA_79_2.bam
gene-G6L97_RS05095	NZ_CP115841.1	1015159	1015674	+	516	0	0	0	0	0	0
gene-G6L97_RS05100	NZ_CP115841.1	1015689	1016249	-	561	0	0	0	0	0	0
gene-G6L97_RS05105	NZ_CP115841.1	1016379	1017458	-	1080	0	0	0	0	0	0
gene-G6L97_RS05110	NZ_CP115841.1	1017455	1018933	-	1479	0	0	0	0	0	0
gene-G6L97_RS05115	NZ_CP115841.1	1019065	1019541	-	477	0	0	0	0	0	0
gene-G6L97_RS05120	NZ_CP115841.1	1019843	1020262	+	420	1	0	0	2	1	0
gene-G6L97_RS05125	NZ_CP115841.1	1020390	1021628	-	1239	0	0	0	0	0	0
gene-G6L97_RS05130	NZ_CP115841.1	1021861	1022148	+	288	0	0	0	0	0	0
gene-G6L97_RS05135	NZ_CP115841.1	1022314	1024902	+	2589	0	0	0	1	1	0
gene-G6L97_RS05140	NZ_CP115841.1	1025196	1025549	+	354	11	8	7	14	12	4
gene-G6L97_RS05145	NZ_CP115841.1	1025560	1028076	+	2517	1	0	35	2	3	47
gene-G6L97_RS05150	NZ_CP115841.1	1028235	1028993	+	759	0	0	0	0	0	0
gene-G6L97_RS05155	NZ_CP115841.1	1028990	1029334	+	345	0	0	0	0	0	0
gene-G6L97_RS05160	NZ_CP115841.1	1029403	1030353	+	951	0	0	0	0	0	0
gene-G6L97_RS05165	NZ_CP115841.1	1030631	1031581	+	951	0	0	0	0	0	0
gene-G6L97_RS05170	NZ_CP115841.1	1031560	1032450	-	891	0	0	0	0	0	0
gene-G6L97_RS05175	NZ_CP115841.1	1032561	1033412	+	852	0	0	0	0	0	0
gene-G6L97_RS05180	NZ_CP115841.1	1033589	1034020	-	432	0	0	0	0	0	0
gene-G6L97_RS05185	NZ_CP115841.1	1034147	1035346	-	1200	0	0	0	0	0	0
gene-G6L97_RS05190	NZ_CP115841.1	1035343	1036083	-	741	0	0	0	0	0	0
gene-G6L97_RS05195	NZ_CP115841.1	1036080	1036550	-	471	2	4	0	5	2	1
gene-G6L97_RS05200	NZ_CP115841.1	1036667	1037509	+	843	3	2	0	13	4	3
gene-G6L97_RS05205	NZ_CP115841.1	1037571	1037696	+	126	0	0	0	0	0	0
gene-G6L97_RS05210	NZ_CP115841.1	1037703	1038470	+	768	241	319	131	135	39	93
gene-G6L97_RS05215	NZ_CP115841.1	1038833	1039759	+	927	103	174	20	86	46	22
gene-G6L97_RS05220	NZ_CP115841.1	1039857	1040579	+	723	8	16	3	6	16	4
gene-G6L97_RS05225	NZ_CP115841.1	1040646	1041203	+	558	4	10	6	5	2	6
gene-G6L97_RS05230	NZ_CP115841.1	1041268	1042011	+	744	0	0	1	0	0	0
gene-G6L97_RS05235	NZ_CP115841.1	1042011	1042844	+	834	0	0	0	0	0	0
gene-G6L97_RS05240	NZ_CP115841.1	1042894	1044015	+	1122	0	0	0	0	0	0
gene-G6L97_RS05245	NZ_CP115841.1	1044215	1046539	+	2325	35	38	11	33	28	11
gene-G6L97_RS05250	NZ_CP115841.1	1046589	1047656	+	1068	0	0	0	0	0	0
gene-G6L97_RS05255	NZ_CP115841.1	1047649	1048116	+	468	0	0	0	0	0	0
gene-G6L97_RS05260	NZ_CP115841.1	1048113	1048928	+	816	0	0	0	0	0	0
gene-G6L97_RS05265	NZ_CP115841.1	1048932	1049825	+	894	0	0	0	0	0	0
gene-G6L97_RS05270	NZ_CP115841.1	1049810	1050991	+	1182	0	0	0	0	0	0
gene-G6L97_RS05275	NZ_CP115841.1	1051120	1052409	-	1290	32	38	107	38	21	91
gene-G6L97_RS05280	NZ_CP115841.1	1052716	1055151	+	2436	0	0	0	0	0	0
gene-G6L97_RS05285	NZ_CP115841.1	1055168	1055851	-	684	0	0	0	0	0	0
gene-G6L97_RS05290	NZ_CP115841.1	1056292	1057014	-	723	22	24	25	15	17	17
gene-G6L97_RS05295	NZ_CP115841.1	1057226	1058107	+	882	0	0	0	0	0	0
gene-G6L97_RS05300	NZ_CP115841.1	1058107	1058952	+	846	0	0	0	0	0	0
gene-G6L97_RS05305	NZ_CP115841.1	1059100	1060374	+	1275	47	94	53	39	16	41
gene-G6L97_RS05310	NZ_CP115841.1	1060711	1061028	+	318	0	0	0	0	0	0
gene-G6L97_RS05315	NZ_CP115841.1	1061182	1062225	+	1044	0	0	0	0	1	0
gene-G6L97_RS05320	NZ_CP115841.1	1062243	1063664	+	1422	112	110	73	45	37	62
gene-G6L97_RS05325	NZ_CP115841.1	1063679	1065049	+	1371	48	42	68	44	22	102
gene-G6L97_RS05330	NZ_CP115841.1	1065062	1065706	+	645	0	0	0	0	0	0
gene-G6L97_RS05335	NZ_CP115841.1	1065765	1067210	+	1446	0	0	0	0	0	0
gene-G6L97_RS05340	NZ_CP115841.1	1067292	1067540	+	249	0	0	0	0	0	0
gene-G6L97_RS05345	NZ_CP115841.1	1067645	1068616	+	972	0	0	1	0	0	2
gene-G6L97_RS05350	NZ_CP115841.1	1068647	1069624	-	978	0	0	0	0	0	0
gene-G6L97_RS05355	NZ_CP115841.1	1069720	1070454	-	735	0	0	0	0	0	0
gene-G6L97_RS05360	NZ_CP115841.1	1070569	1070745	-	177	4	4	3	8	4	1
gene-G6L97_RS05365	NZ_CP115841.1	1070994	1071563	+	570	0	0	0	0	0	0
gene-G6L97_RS05370	NZ_CP115841.1	1071573	1072028	+	456	0	0	0	0	0	0
gene-G6L97_RS05375	NZ_CP115841.1	1072010	1072519	-	510	0	0	0	0	0	0
gene-G6L97_RS05380	NZ_CP115841.1	1072516	1073703	-	1188	0	0	0	0	0	0
gene-G6L97_RS05385	NZ_CP115841.1	1074069	1074995	+	927	0	0	0	0	0	0
gene-G6L97_RS05390	NZ_CP115841.1	1074992	1076140	+	1149	0	0	0	0	0	0
gene-G6L97_RS05395	NZ_CP115841.1	1076137	1077588	+	1452	0	0	0	0	0	0
gene-G6L97_RS05400	NZ_CP115841.1	1077738	1079999	+	2262	0	0	0	0	0	0
gene-G6L97_RS05405	NZ_CP115841.1	1079989	1081353	+	1365	0	0	0	0	0	0
gene-G6L97_RS05410	NZ_CP115841.1	1081404	1082780	+	1377	0	0	0	0	0	0
gene-G6L97_RS05415	NZ_CP115841.1	1082965	1083207	+	243	82	85	21	56	65	7
gene-G6L97_RS05420	NZ_CP115841.1	1083301	1084740	+	1440	0	0	0	0	0	0
gene-G6L97_RS05425	NZ_CP115841.1	1084944	1085789	-	846	0	0	0	0	0	0
gene-G6L97_RS05430	NZ_CP115841.1	1085854	1086441	-	588	0	0	0	0	0	0
gene-G6L97_RS05435	NZ_CP115841.1	1086703	1088166	+	1464	0	0	0	0	0	0
gene-G6L97_RS05440	NZ_CP115841.1	1088159	1088473	+	315	0	0	0	0	0	0
gene-G6L97_RS05445	NZ_CP115841.1	1088482	1090152	+	1671	24	15	6	26	31	8
gene-G6L97_RS05450	NZ_CP115841.1	1090163	1090669	+	507	13	4	0	14	10	0
gene-G6L97_RS05455	NZ_CP115841.1	1090816	1091628	+	813	65	35	82	53	69	73
gene-G6L97_RS05460	NZ_CP115841.1	1091689	1093029	-	1341	0	0	0	0	0	0
gene-G6L97_RS05465	NZ_CP115841.1	1093163	1093666	+	504	0	0	0	0	0	0
gene-G6L97_RS05470	NZ_CP115841.1	1093713	1094516	-	804	0	0	0	0	0	0
gene-G6L97_RS05475	NZ_CP115841.1	1094676	1097540	-	2865	6	13	38	7	8	40
gene-G6L97_RS05480	NZ_CP115841.1	1097540	1097902	-	363	0	0	0	0	0	0
gene-G6L97_RS05485	NZ_CP115841.1	1097931	1099070	-	1140	0	0	0	0	0	0
gene-G6L97_RS05490	NZ_CP115841.1	1099437	1099622	-	186	0	0	0	0	0	0
gene-G6L97_RS05495	NZ_CP115841.1	1099796	1100176	+	381	0	0	0	0	0	0
gene-G6L97_RS05500	NZ_CP115841.1	1100265	1101254	+	990	0	0	0	0	0	0
gene-G6L97_RS05505	NZ_CP115841.1	1101317	1101745	-	429	0	0	0	0	0	0
gene-G6L97_RS05510	NZ_CP115841.1	1101865	1102155	-	291	0	0	0	0	0	0
gene-G6L97_RS05515	NZ_CP115841.1	1102358	1102735	+	378	0	0	0	0	0	0
gene-G6L97_RS05520	NZ_CP115841.1	1102802	1103791	+	990	1	0	0	2	0	0
gene-G6L97_RS05525	NZ_CP115841.1	1103798	1104466	+	669	0	0	0	0	0	0
gene-G6L97_RS05530	NZ_CP115841.1	1104497	1105291	+	795	0	0	0	0	0	0
gene-G6L97_RS05535	NZ_CP115841.1	1105352	1105840	+	489	0	0	0	0	0	0
gene-G6L97_RS05540	NZ_CP115841.1	1105865	1106458	-	594	0	0	0	0	0	0
gene-G6L97_RS05545	NZ_CP115841.1	1106624	1107022	+	399	0	0	0	0	0	0
gene-G6L97_RS05550	NZ_CP115841.1	1107132	1107965	-	834	0	0	0	0	0	0
gene-G6L97_RS05555	NZ_CP115841.1	1107999	1108658	-	660	0	0	0	0	0	0
gene-G6L97_RS05560	NZ_CP115841.1	1108684	1109139	-	456	0	0	0	0	0	0
gene-G6L97_RS05565	NZ_CP115841.1	1109306	1109758	+	453	0	0	0	0	0	0
gene-G6L97_RS05570	NZ_CP115841.1	1109823	1110479	-	657	0	0	0	0	0	0
gene-G6L97_RS05575	NZ_CP115841.1	1110748	1111398	+	651	0	0	0	0	0	0
gene-G6L97_RS05585	NZ_CP115841.1	1111650	1112291	-	642	0	0	0	0	0	0
gene-G6L97_RS05590	NZ_CP115841.1	1112295	1113074	-	780	0	0	0	0	0	0
gene-G6L97_RS05595	NZ_CP115841.1	1113071	1113577	-	507	0	0	0	0	0	0
gene-G6L97_RS05605	NZ_CP115841.1	1114082	1114648	-	567	0	0	0	0	0	0
gene-G6L97_RS05610	NZ_CP115841.1	1115138	1115425	-	288	0	0	0	0	0	0
gene-G6L97_RS05620	NZ_CP115841.1	1116726	1118099	-	1374	0	0	0	0	0	0
gene-G6L97_RS05625	NZ_CP115841.1	1118735	1119631	-	897	0	0	0	0	0	0
gene-G6L97_RS05630	NZ_CP115841.1	1119737	1120819	+	1083	0	0	0	0	0	0
gene-G6L97_RS05635	NZ_CP115841.1	1120868	1121869	+	1002	0	0	0	0	0	0
gene-G6L97_RS05640	NZ_CP115841.1	1121933	1122700	+	768	0	0	0	0	0	0
gene-G6L97_RS05645	NZ_CP115841.1	1122687	1123463	+	777	0	0	0	0	0	0
gene-G6L97_RS05650	NZ_CP115841.1	1123696	1124805	+	1110	0	0	0	0	0	0
gene-G6L97_RS05655	NZ_CP115841.1	1124817	1125242	+	426	0	0	0	0	0	0
gene-G6L97_RS05660	NZ_CP115841.1	1125270	1127588	+	2319	0	0	0	0	0	0
gene-G6L97_RS05665	NZ_CP115841.1	1127585	1127968	+	384	0	0	0	0	0	0
gene-G6L97_RS05670	NZ_CP115841.1	1128193	1129353	+	1161	0	0	0	0	0	0
gene-G6L97_RS05675	NZ_CP115841.1	1129514	1129909	-	396	0	0	0	0	0	0
gene-G6L97_RS05680	NZ_CP115841.1	1129978	1130538	-	561	0	0	0	0	0	0
gene-G6L97_RS05685	NZ_CP115841.1	1130538	1132223	-	1686	0	0	0	0	0	0
gene-G6L97_RS05690	NZ_CP115841.1	1132377	1133231	-	855	0	1	2	0	0	7
gene-G6L97_RS05695	NZ_CP115841.1	1133360	1134529	-	1170	0	0	0	0	0	0
gene-G6L97_RS05700	NZ_CP115841.1	1134541	1135590	-	1050	0	0	0	0	0	0
gene-G6L97_RS05705	NZ_CP115841.1	1135624	1136646	-	1023	0	0	0	0	0	0
gene-G6L97_RS05710	NZ_CP115841.1	1136650	1137618	-	969	0	0	0	0	0	0
gene-G6L97_RS05715	NZ_CP115841.1	1137620	1138564	-	945	0	0	0	0	0	0
gene-G6L97_RS05720	NZ_CP115841.1	1138561	1140054	-	1494	0	1	0	0	0	0
gene-G6L97_RS05725	NZ_CP115841.1	1140174	1141196	-	1023	0	0	0	0	0	0
gene-G6L97_RS05730	NZ_CP115841.1	1141497	1141970	-	474	0	0	0	0	0	0
gene-G6L97_RS05735	NZ_CP115841.1	1142089	1142469	+	381	0	0	0	0	0	0
gene-G6L97_RS05740	NZ_CP115841.1	1142535	1143308	-	774	0	0	0	0	0	0
gene-G6L97_RS05745	NZ_CP115841.1	1143487	1145268	-	1782	0	0	0	0	0	0
gene-G6L97_RS05750	NZ_CP115841.1	1145290	1146120	-	831	0	0	0	0	0	0
gene-G6L97_RS05755	NZ_CP115841.1	1146123	1146905	-	783	0	0	0	0	0	0
gene-G6L97_RS05760	NZ_CP115841.1	1146917	1148467	-	1551	14	7	2	13	2	0
gene-G6L97_RS05765	NZ_CP115841.1	1148572	1149597	-	1026	0	0	0	0	0	0
gene-G6L97_RS05770	NZ_CP115841.1	1149590	1150264	-	675	0	0	0	0	0	0
gene-G6L97_RS05775	NZ_CP115841.1	1150402	1151574	-	1173	0	0	0	0	0	0
gene-G6L97_RS05780	NZ_CP115841.1	1151651	1152739	-	1089	0	0	0	0	0	0
gene-G6L97_RS05785	NZ_CP115841.1	1153059	1153397	+	339	0	0	0	0	0	0
gene-G6L97_RS05790	NZ_CP115841.1	1153531	1153620	-	90	0	0	0	0	0	0
gene-G6L97_RS05795	NZ_CP115841.1	1154204	1154431	-	228	0	0	0	0	0	0
gene-G6L97_RS05800	NZ_CP115841.1	1154446	1154709	-	264	0	0	0	0	0	0
gene-G6L97_RS05805	NZ_CP115841.1	1154847	1155557	+	711	0	0	0	0	0	0
gene-G6L97_RS05810	NZ_CP115841.1	1155706	1157220	+	1515	0	0	0	0	0	0
gene-G6L97_RS05815	NZ_CP115841.1	1157305	1157565	+	261	0	0	0	0	0	0
gene-G6L97_RS05820	NZ_CP115841.1	1157660	1160452	-	2793	2	6	13	26	5	19
gene-G6L97_RS05825	NZ_CP115841.1	1160670	1161299	+	630	0	0	0	0	0	0
gene-G6L97_RS05830	NZ_CP115841.1	1161423	1162571	+	1149	0	0	0	0	0	0
gene-G6L97_RS05835	NZ_CP115841.1	1162637	1163212	-	576	0	0	0	0	0	0
gene-G6L97_RS05840	NZ_CP115841.1	1163478	1166399	+	2922	0	0	0	0	0	0
gene-G6L97_RS05845	NZ_CP115841.1	1166456	1167256	+	801	0	0	0	0	0	0
gene-G6L97_RS05850	NZ_CP115841.1	1167262	1168272	-	1011	0	0	0	0	0	0
gene-G6L97_RS05855	NZ_CP115841.1	1168412	1169101	+	690	0	0	0	0	0	0
gene-G6L97_RS05860	NZ_CP115841.1	1169139	1169672	+	534	0	0	0	0	0	0
gene-G6L97_RS05865	NZ_CP115841.1	1169712	1170116	-	405	0	0	0	0	0	0
gene-G6L97_RS05870	NZ_CP115841.1	1170113	1170931	-	819	0	0	0	0	0	0
gene-G6L97_RS05875	NZ_CP115841.1	1170924	1171841	-	918	0	0	0	0	0	0
gene-G6L97_RS05880	NZ_CP115841.1	1171946	1172932	+	987	0	0	0	0	0	0
gene-G6L97_RS05885	NZ_CP115841.1	1172954	1174006	-	1053	0	0	0	0	0	0
gene-G6L97_RS05890	NZ_CP115841.1	1174506	1176971	+	2466	0	0	0	0	0	0
gene-G6L97_RS05895	NZ_CP115841.1	1177095	1178126	+	1032	0	0	0	0	0	0
gene-G6L97_RS05900	NZ_CP115841.1	1178319	1178645	+	327	0	0	0	0	0	0
gene-G6L97_RS05905	NZ_CP115841.1	1178714	1180144	-	1431	24	16	119	17	14	103
gene-G6L97_RS05910	NZ_CP115841.1	1180303	1180461	-	159	0	0	0	0	0	0
gene-G6L97_RS05915	NZ_CP115841.1	1180458	1182749	-	2292	0	0	0	0	0	0
gene-G6L97_RS05920	NZ_CP115841.1	1182746	1183246	-	501	0	0	0	0	0	0
gene-G6L97_RS05925	NZ_CP115841.1	1183243	1184826	-	1584	0	0	0	0	0	0
gene-G6L97_RS05930	NZ_CP115841.1	1184946	1185350	+	405	0	0	0	0	0	0
gene-G6L97_RS05935	NZ_CP115841.1	1185362	1185718	+	357	0	0	0	0	0	0
gene-G6L97_RS05940	NZ_CP115841.1	1185767	1186630	-	864	0	0	0	0	0	0
gene-G6L97_RS05945	NZ_CP115841.1	1186634	1186786	-	153	0	0	0	0	0	0
gene-G6L97_RS05950	NZ_CP115841.1	1186799	1187530	-	732	2	0	1	1	5	1
gene-G6L97_RS05955	NZ_CP115841.1	1187541	1189163	-	1623	0	0	1	0	8	3
gene-G6L97_RS05960	NZ_CP115841.1	1189407	1189928	-	522	0	0	0	0	0	0
gene-G6L97_RS05965	NZ_CP115841.1	1190434	1191126	+	693	0	0	0	0	0	0
gene-G6L97_RS05970	NZ_CP115841.1	1191196	1192161	+	966	0	0	0	0	0	0
gene-G6L97_RS05975	NZ_CP115841.1	1192321	1192707	-	387	0	0	0	0	0	0
gene-G6L97_RS05980	NZ_CP115841.1	1192793	1194220	-	1428	0	0	0	0	0	0
gene-G6L97_RS05985	NZ_CP115841.1	1194591	1196894	+	2304	0	0	0	0	0	0
gene-G6L97_RS05990	NZ_CP115841.1	1196908	1197210	+	303	0	0	0	0	0	0
gene-G6L97_RS05995	NZ_CP115841.1	1197228	1197722	+	495	0	0	0	0	0	0
gene-G6L97_RS06000	NZ_CP115841.1	1197726	1198154	-	429	0	0	0	0	0	0
gene-G6L97_RS06005	NZ_CP115841.1	1198276	1198443	+	168	0	0	1	0	0	0
gene-G6L97_RS06010	NZ_CP115841.1	1198521	1198946	-	426	0	0	0	0	0	0
gene-G6L97_RS06015	NZ_CP115841.1	1199506	1199590	-	85	2	0	0	7	3	0
gene-G6L97_RS06020	NZ_CP115841.1	1199780	1200511	+	732	0	0	0	0	0	0
gene-G6L97_RS06025	NZ_CP115841.1	1200581	1201648	+	1068	4	0	4	1	2	6
gene-G6L97_RS06030	NZ_CP115841.1	1201724	1202659	+	936	0	0	0	0	0	0
gene-G6L97_RS06035	NZ_CP115841.1	1202674	1203132	-	459	0	0	0	0	0	0
gene-G6L97_RS06040	NZ_CP115841.1	1203293	1204138	-	846	0	0	0	0	0	0
gene-G6L97_RS06045	NZ_CP115841.1	1204162	1204554	-	393	0	0	0	0	0	0
gene-G6L97_RS06050	NZ_CP115841.1	1204554	1207118	-	2565	90	86	35	74	73	47
gene-G6L97_RS06055	NZ_CP115841.1	1207198	1207545	-	348	0	0	4	0	0	5
gene-G6L97_RS06060	NZ_CP115841.1	1207753	1208625	+	873	0	0	0	0	0	0
gene-G6L97_RS06065	NZ_CP115841.1	1208930	1210120	+	1191	0	0	0	0	0	0
gene-G6L97_RS06070	NZ_CP115841.1	1210218	1210883	-	666	0	0	0	0	0	0
gene-G6L97_RS06075	NZ_CP115841.1	1210995	1212389	+	1395	0	0	0	0	0	0
gene-G6L97_RS06080	NZ_CP115841.1	1212444	1212647	-	204	1	0	5	4	4	1
gene-G6L97_RS06085	NZ_CP115841.1	1212799	1213623	-	825	0	0	0	0	0	0
gene-G6L97_RS06090	NZ_CP115841.1	1213767	1214543	-	777	0	0	0	0	0	0
gene-G6L97_RS06095	NZ_CP115841.1	1214714	1214959	+	246	0	0	0	0	0	0
gene-G6L97_RS06100	NZ_CP115841.1	1214989	1216158	+	1170	0	0	0	0	0	0
gene-G6L97_RS06105	NZ_CP115841.1	1216161	1217348	-	1188	0	0	0	0	0	0
gene-G6L97_RS06110	NZ_CP115841.1	1217725	1218747	+	1023	29	45	74	20	125	43
gene-G6L97_RS06115	NZ_CP115841.1	1218855	1220051	+	1197	0	0	1	0	0	0
gene-G6L97_RS06120	NZ_CP115841.1	1220055	1221212	+	1158	0	0	2	0	0	3
gene-G6L97_RS06125	NZ_CP115841.1	1221225	1221998	+	774	11	15	59	11	43	70
gene-G6L97_RS06130	NZ_CP115841.1	1222445	1222519	+	75	0	0	0	0	0	0
gene-G6L97_RS06135	NZ_CP115841.1	1222971	1223045	+	75	0	0	0	0	0	0
gene-G6L97_RS06140	NZ_CP115841.1	1223175	1224983	-	1809	0	0	0	0	0	0
gene-G6L97_RS06145	NZ_CP115841.1	1225093	1225317	-	225	0	0	0	0	0	0
gene-G6L97_RS06150	NZ_CP115841.1	1225505	1226815	-	1311	25	20	13	21	17	10
gene-G6L97_RS06155	NZ_CP115841.1	1226877	1228097	-	1221	31	34	66	34	29	52
gene-G6L97_RS06160	NZ_CP115841.1	1228398	1229357	-	960	0	0	0	0	0	0
gene-G6L97_RS06165	NZ_CP115841.1	1229537	1230340	+	804	0	0	0	0	0	0
gene-G6L97_RS06170	NZ_CP115841.1	1230384	1231082	-	699	0	0	0	0	0	0
gene-G6L97_RS06175	NZ_CP115841.1	1231362	1232291	-	930	0	0	0	0	0	0
gene-G6L97_RS06180	NZ_CP115841.1	1232296	1233324	-	1029	0	2	4	0	0	5
gene-G6L97_RS06185	NZ_CP115841.1	1233477	1234760	-	1284	0	0	0	0	0	0
gene-G6L97_RS06190	NZ_CP115841.1	1234773	1235969	-	1197	0	0	0	0	0	0
gene-G6L97_RS06195	NZ_CP115841.1	1236179	1236658	-	480	0	0	0	0	0	0
gene-G6L97_RS06200	NZ_CP115841.1	1236748	1237032	-	285	43	41	12	68	32	8
gene-G6L97_RS06205	NZ_CP115841.1	1237147	1238496	-	1350	0	0	0	0	0	0
gene-G6L97_RS06210	NZ_CP115841.1	1238709	1239434	+	726	0	0	0	0	0	0
gene-G6L97_RS06215	NZ_CP115841.1	1240078	1240503	-	426	0	0	0	0	0	0
gene-G6L97_RS06220	NZ_CP115841.1	1240642	1242501	+	1860	0	0	0	0	0	0
gene-G6L97_RS06225	NZ_CP115841.1	1242533	1243252	+	720	0	0	0	0	0	0
gene-G6L97_RS06230	NZ_CP115841.1	1243284	1244117	+	834	0	0	0	0	0	0
gene-G6L97_RS06235	NZ_CP115841.1	1244130	1244975	+	846	0	0	0	0	0	0
gene-G6L97_RS06240	NZ_CP115841.1	1245122	1245544	+	423	0	0	0	0	0	0
gene-G6L97_RS06245	NZ_CP115841.1	1245546	1247285	+	1740	0	0	0	0	0	0
gene-G6L97_RS06250	NZ_CP115841.1	1247353	1248729	-	1377	3	2	15	3	3	4
gene-G6L97_RS06255	NZ_CP115841.1	1248980	1250368	-	1389	0	0	0	0	0	0
gene-G6L97_RS06260	NZ_CP115841.1	1250537	1251103	-	567	0	0	0	0	0	0
gene-G6L97_RS06265	NZ_CP115841.1	1251120	1251815	-	696	0	0	1	2	0	0
gene-G6L97_RS06270	NZ_CP115841.1	1252008	1252709	+	702	0	0	0	0	0	0
gene-G6L97_RS06275	NZ_CP115841.1	1252945	1254792	-	1848	0	0	0	0	0	0
gene-G6L97_RS06280	NZ_CP115841.1	1255291	1256682	+	1392	12	4	15	5	2	5
gene-G6L97_RS06285	NZ_CP115841.1	1256891	1257823	+	933	0	0	0	0	0	0
gene-G6L97_RS06290	NZ_CP115841.1	1257890	1259527	-	1638	98	121	16	92	98	31
gene-G6L97_RS06295	NZ_CP115841.1	1259678	1260136	-	459	18	19	3	9	15	5
gene-G6L97_RS06300	NZ_CP115841.1	1260252	1261022	-	771	0	0	0	0	0	0
gene-G6L97_RS06305	NZ_CP115841.1	1261237	1262118	-	882	0	0	0	0	0	0
gene-G6L97_RS06310	NZ_CP115841.1	1262328	1264448	+	2121	19	16	7	7	20	19
gene-G6L97_RS06315	NZ_CP115841.1	1264492	1265103	-	612	0	0	0	0	0	0
gene-G6L97_RS06320	NZ_CP115841.1	1265147	1265506	-	360	0	0	0	0	0	0
gene-G6L97_RS06325	NZ_CP115841.1	1265503	1265817	-	315	0	0	0	0	0	0
gene-G6L97_RS06330	NZ_CP115841.1	1265982	1267538	+	1557	0	0	0	0	0	0
gene-G6L97_RS06335	NZ_CP115841.1	1267570	1268403	-	834	0	0	0	0	0	0
gene-G6L97_RS06340	NZ_CP115841.1	1268566	1271079	-	2514	0	0	0	0	0	2
gene-G6L97_RS06345	NZ_CP115841.1	1271212	1271454	+	243	0	0	0	0	0	0
gene-G6L97_RS06350	NZ_CP115841.1	1271737	1274406	-	2670	0	0	0	0	0	1
gene-G6L97_RS06355	NZ_CP115841.1	1274530	1274784	+	255	0	0	0	0	0	0
gene-G6L97_RS06360	NZ_CP115841.1	1274940	1275015	+	76	0	0	0	2	2	2
gene-G6L97_RS06365	NZ_CP115841.1	1275149	1275595	-	447	0	0	0	0	0	0
gene-G6L97_RS06370	NZ_CP115841.1	1276037	1276369	+	333	0	0	0	0	0	0
gene-G6L97_RS06375	NZ_CP115841.1	1276539	1276790	+	252	0	0	0	0	0	0
gene-G6L97_RS06380	NZ_CP115841.1	1276986	1277210	+	225	0	0	0	0	0	0
gene-G6L97_RS06385	NZ_CP115841.1	1277507	1277695	+	189	0	0	0	0	0	0
gene-G6L97_RS06390	NZ_CP115841.1	1277769	1278020	-	252	0	0	0	0	0	0
gene-G6L97_RS06395	NZ_CP115841.1	1278169	1278327	-	159	0	0	0	0	0	0
gene-G6L97_RS06400	NZ_CP115841.1	1278662	1279096	+	435	0	0	0	0	0	0
gene-G6L97_RS06405	NZ_CP115841.1	1279121	1280089	-	969	0	0	0	0	0	0
gene-G6L97_RS06410	NZ_CP115841.1	1280192	1280797	-	606	0	0	0	0	0	0
gene-G6L97_RS06415	NZ_CP115841.1	1280813	1282183	-	1371	0	0	2	0	0	2
gene-G6L97_RS06420	NZ_CP115841.1	1282192	1283028	-	837	1	2	6	4	2	2
gene-G6L97_RS06425	NZ_CP115841.1	1283039	1284199	-	1161	0	5	0	0	0	0
gene-G6L97_RS06430	NZ_CP115841.1	1284343	1285326	+	984	1	1	0	0	0	0
gene-G6L97_RS06435	NZ_CP115841.1	1285572	1286408	-	837	0	0	0	0	0	0
gene-G6L97_RS06440	NZ_CP115841.1	1286638	1288953	+	2316	16	13	4	18	4	2
gene-G6L97_RS06445	NZ_CP115841.1	1289089	1290189	+	1101	0	0	0	0	0	0
gene-G6L97_RS06450	NZ_CP115841.1	1290259	1290975	-	717	0	0	0	0	0	0
gene-G6L97_RS06455	NZ_CP115841.1	1291387	1292217	-	831	0	0	0	0	0	0
gene-G6L97_RS06460	NZ_CP115841.1	1292410	1292787	+	378	0	0	0	0	0	0
gene-G6L97_RS06465	NZ_CP115841.1	1292937	1294616	-	1680	0	0	1	0	0	3
gene-G6L97_RS06470	NZ_CP115841.1	1294848	1296788	+	1941	0	0	0	0	0	0
gene-G6L97_RS06475	NZ_CP115841.1	1296898	1297431	+	534	0	0	0	0	0	0
gene-G6L97_RS06480	NZ_CP115841.1	1297974	1299377	+	1404	0	0	0	0	0	0
gene-G6L97_RS06485	NZ_CP115841.1	1299579	1300229	-	651	0	0	0	0	0	0
gene-G6L97_RS06490	NZ_CP115841.1	1300484	1301023	-	540	0	0	0	0	0	0
gene-G6L97_RS06495	NZ_CP115841.1	1301200	1302678	-	1479	288	442	113	355	168	74
gene-G6L97_RS06500	NZ_CP115841.1	1302919	1303001	-	83	0	0	0	2	0	0
gene-G6L97_RS06505	NZ_CP115841.1	1303662	1303808	+	147	0	0	0	0	0	0
gene-G6L97_RS06510	NZ_CP115841.1	1304286	1304429	+	144	391	46	309	285	3	682
gene-G6L97_RS06515	NZ_CP115841.1	1304726	1306183	+	1458	0	0	0	0	0	0
gene-G6L97_RS06520	NZ_CP115841.1	1306227	1306721	-	495	0	0	0	0	0	0
gene-G6L97_RS06525	NZ_CP115841.1	1306802	1307335	-	534	0	0	0	0	0	0
